id,sweaterNumber,headshot,teamAbbrev,teamLogo,position,value,firstName.default,lastName.default,teamName.default,lastName.cs,lastName.fi,lastName.sk,firstName.cs,firstName.fi,firstName.sk,teamName.fr,firstName.de,firstName.es,firstName.sv,lastName.sv,firstName.fr,lastName.de,lastName.es
8480848,53,https://assets.nhle.com/mugs/nhl/20242025/SJS/8480848.png,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,C,1,Ty,Dellandrea,Sharks,,,,,,,,,,,,,,
8475750,4,https://assets.nhle.com/mugs/nhl/20242025/MIN/8475750.png,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,D,1,Jon,Merrill,Wild,,,,,,,,,,,,,,
8479066,70,https://assets.nhle.com/mugs/nhl/20242025/CGY/8479066.png,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,L,1,Ryan,Lomberg,Flames,,,,,,,,,,,,,,
8482177,22,https://assets.nhle.com/mugs/nhl/20242025/MIN/8482177.png,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,C,1,Marat,Khusnutdinov,Wild,Chusnutdinov,Husnutdinov,Chusnutdinov,,,,,,,,,,,
8483432,65,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8483432.png,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,C,1,Luca,Del Bel Belluz,Blue Jackets,,,,,,,,,,,,,,
8482733,24,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482733.png,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,D,1,Logan,Mailloux,Canadiens,,,,,,,,,,,,,,
8483485,5,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8483485.png,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,D,1,Denton,Mateychuk,Blue Jackets,,,,,,,,,,,,,,
8483493,91,https://assets.nhle.com/mugs/nhl/20242025/CHI/8483493.png,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,C,1,Frank,Nazar,Blackhawks,,,,,,,,,,,,,,
8483472,10,https://assets.nhle.com/mugs/nhl/20242025/UTA/8483472.png,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,D,1,Maveric,Lamoureux,Utah Hockey Club,,,,,,,Club de hockey de l'Utah,,,,,,,
8482482,83,https://assets.nhle.com/mugs/nhl/20242025/NSH/8482482.png,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,D,1,Adam,Wilsby,Predators,,,,,,,,,,,,,,
8480851,26,https://assets.nhle.com/mugs/nhl/20242025/LAK/8480851.png,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,C,1,Akil,Thomas,Kings,,,,,,,,,,,,,,
8481732,47,https://assets.nhle.com/mugs/nhl/20242025/LAK/8481732.png,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,L,1,Andre,Lee,Kings,,,,,,,,,,,,,,
8481607,20,https://assets.nhle.com/mugs/nhl/20242025/DET/8481607.png,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,D,1,Albert,Johansson,Red Wings,,,,,,,,,,,,,,
8480887,22,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8480887.png,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,D,1,Jordan,Harris,Blue Jackets,,,,,,,,,,,,,,
8476442,83,https://assets.nhle.com/mugs/nhl/20242025/PIT/8476442.png,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,L,1,Matt,Nieto,Penguins,,,,,,,,,,,,,,
8480035,10,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480035.png,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,D,1,Henri,Jokiharju,Sabres,,,,,,,,,,,,,,
8482176,44,https://assets.nhle.com/mugs/nhl/20242025/CHI/8482176.png,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,D,1,Wyatt,Kaiser,Blackhawks,,,,,,,,,,,,,,
8483573,53,https://assets.nhle.com/mugs/nhl/20242025/WSH/8483573.png,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,C,1,Ethen,Frank,Capitals,,,,,,,,,,,,,,
8475958,23,https://assets.nhle.com/mugs/nhl/20242025/WSH/8475958.png,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,C,1,Michael,Sgarbossa,Capitals,,,,,,,,,,,,,,
8481754,62,https://assets.nhle.com/mugs/nhl/20242025/ANA/8481754.png,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,C,1,Nikita,Nesterenko,Ducks,,,,,,,,,,,,,,
8478430,58,https://assets.nhle.com/mugs/nhl/20242025/COL/8478430.png,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,D,1,Oliver,Kylington,Avalanche,,,,,,,,,,,,,,
8480883,42,https://assets.nhle.com/mugs/nhl/20242025/CAR/8480883.png,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,D,1,Ty,Smith,Hurricanes,,,,,,,,,,,,,,
8475197,8,https://assets.nhle.com/mugs/nhl/20242025/CGY/8475197.png,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,D,1,Tyson,Barrie,Flames,,,,,,,,,,,,,,
8481703,48,https://assets.nhle.com/mugs/nhl/20242025/PIT/8481703.png,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,R,1,Valtteri,Puustinen,Penguins,,,,,,,,,,,,,,
8482659,91,https://assets.nhle.com/mugs/nhl/20242025/UTA/8482659.png,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,R,1,Josh,Doan,Utah Hockey Club,,,,,,,Club de hockey de l'Utah,,,,,,,
8481133,51,https://assets.nhle.com/mugs/nhl/20242025/OTT/8481133.png,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,L,1,Cole,Reinhardt,Senators,,,,,,,Sénateurs,,,,,,,
8473446,77,https://assets.nhle.com/mugs/nhl/20242025/PHI/8473446.png,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,D,1,Erik,Johnson,Flyers,,,,,,,,,,,,,,
8477979,96,https://assets.nhle.com/mugs/nhl/20242025/BUF/8477979.png,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,R,1,Nicolas,Aube-Kubel,Sabres,,,,,,,,,,,,,,
8477508,42,https://assets.nhle.com/mugs/nhl/20242025/NJD/8477508.png,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,C,1,Curtis,Lazar,Devils,,,,,,,,,,,,,,
8483503,38,https://assets.nhle.com/mugs/nhl/20242025/PIT/8483503.png,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,D,1,Owen,Pickering,Penguins,,,,,,,,,,,,,,
8482201,93,https://assets.nhle.com/mugs/nhl/20242025/TBL/8482201.png,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,C,1,Gage,Goncalves,Lightning,,,,,,,,,,,,,,
8474568,2,https://assets.nhle.com/mugs/nhl/20242025/NSH/8474568.png,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,D,1,Luke,Schenn,Predators,,,,,,,,,,,,,,
8483398,67,https://assets.nhle.com/mugs/nhl/20242025/TBL/8483398.png,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,D,1,Declan,Carlile,Lightning,,,,,,,,,,,,,,
8478146,15,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478146.png,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,C,1,Matthew,Highmore,Senators,,,,,,,Sénateurs,,,,,,,
8482192,41,https://assets.nhle.com/mugs/nhl/20242025/CHI/8482192.png,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,D,1,Isaak,Phillips,Blackhawks,,,,,,,,,,,,,,
8482896,48,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482896.png,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,C,1,Tyson,Kozak,Sabres,,,,,,,,,,,,,,
8482206,56,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482206.png,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,R,1,Ethan,Cardwell,Sharks,,,,,,,,,,,,,,
8482250,68,https://assets.nhle.com/mugs/nhl/20242025/VGK/8482250.png,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,C,1,Callahan,Burke,Golden Knights,,,,,,,,,,,,,,
8479550,28,https://assets.nhle.com/mugs/nhl/20242025/VGK/8479550.png,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,C,1,Tanner,Laczynski,Golden Knights,,,,,,,,,,,,,,
8484221,71,https://assets.nhle.com/mugs/nhl/20242025/COL/8484221.png,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,C,1,Calum,Ritchie,Avalanche,,,,,,,,,,,,,,
8483549,82,https://assets.nhle.com/mugs/nhl/20242025/MTL/8483549.png,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,L,1,Lucas,Condotta,Canadiens,,,,,,,,,,,,,,
8482166,85,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482166.png,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,D,1,Shakir,Mukhamadullin,Sharks,,,,,,,,,,,,,,
8481006,75,https://assets.nhle.com/mugs/nhl/20242025/STL/8481006.png,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,D,1,Tyler,Tucker,Blues,,,,,,,,,,,,,,
8483395,13,https://assets.nhle.com/mugs/nhl/20242025/VAN/8483395.png,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,L,1,Arshdeep,Bains,Canucks,,,,,,,,,,,,,,
8477971,5,https://assets.nhle.com/mugs/nhl/20242025/LAK/8477971.png,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,D,1,Andreas,Englund,Kings,,,,,,,,,,,,,,
8482118,64,https://assets.nhle.com/mugs/nhl/20242025/ANA/8482118.png,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,R,1,Sam,Colangelo,Ducks,,,,,,,,,,,,,,
8481806,46,https://assets.nhle.com/mugs/nhl/20242025/CHI/8481806.png,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,D,1,Louis,Crevier,Blackhawks,,,,,,,,,,,,,,
8479981,12,https://assets.nhle.com/mugs/nhl/20242025/FLA/8479981.png,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,L,1,Jonah,Gadjovich,Panthers,,,,,,,,,,,,,,
8475780,14,https://assets.nhle.com/mugs/nhl/20242025/COL/8475780.png,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,R,1,Chris,Wagner,Avalanche,,,,,,,,,,,,,,
8482111,20,https://assets.nhle.com/mugs/nhl/20242025/NSH/8482111.png,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,D,1,Justin,Barron,Predators,,,,,,,,,,,,,,
