id,sweaterNumber,headshot,teamAbbrev,teamLogo,position,value,firstName.default,lastName.default,teamName.default,lastName.cs,lastName.fi,lastName.sk,lastName.sv,firstName.cs,firstName.sk,firstName.fi,teamName.fr
8476945,37,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476945.png,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,G,26,Connor,Hellebuyck,Jets,,,,,,,,
8474593,25,https://assets.nhle.com/mugs/nhl/20242025/NJD/8474593.png,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,G,21,Jacob,Markstrom,Devils,Markström,Markström,Markström,Markström,,,,
8479979,29,https://assets.nhle.com/mugs/nhl/20242025/DAL/8479979.png,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,G,21,Jake,Oettinger,Stars,,,,,,,,
8479406,32,https://assets.nhle.com/mugs/nhl/20242025/MIN/8479406.png,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,G,18,Filip,Gustavsson,Wild,,,,,,,,
8480313,48,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480313.png,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,G,18,Logan,Thompson,Capitals,,,,,,,,
8476883,88,https://assets.nhle.com/mugs/nhl/20242025/TBL/8476883.png,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,G,18,Andrei,Vasilevskiy,Lightning,Vasilevskij,Vasilevski,Vasilevskij,,Andrej,Andrej,,
8475683,72,https://assets.nhle.com/mugs/nhl/20242025/FLA/8475683.png,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,G,18,Sergei,Bobrovsky,Panthers,Bobrovskij,Bobrovski,Bobrovskij,,Sergej,Sergej,,
8478499,33,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478499.png,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,G,18,Adin,Hill,Golden Knights,,,,,,,,
8480947,32,https://assets.nhle.com/mugs/nhl/20242025/VAN/8480947.png,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,G,16,Kevin,Lankinen,Canucks,,,,,,,,
8479973,74,https://assets.nhle.com/mugs/nhl/20242025/EDM/8479973.png,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,G,16,Stuart,Skinner,Oilers,,,,,,,,
8481611,52,https://assets.nhle.com/mugs/nhl/20242025/CAR/8481611.png,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,G,16,Pyotr,Kochetkov,Hurricanes,,Kotshetkov,,,Pjotr,Pjotr,Pjotr,
8478470,35,https://assets.nhle.com/mugs/nhl/20242025/MTL/8478470.png,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,G,15,Sam,Montembeault,Canadiens,,,,,,,,
8478007,90,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8478007.png,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,G,15,Elvis,Merzlikins,Blue Jackets,,,,,,,,
8478406,39,https://assets.nhle.com/mugs/nhl/20242025/COL/8478406.png,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,G,14,Mackenzie,Blackwood,Avalanche,,,,,,,,
8480280,1,https://assets.nhle.com/mugs/nhl/20242025/BOS/8480280.png,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,G,14,Jeremy,Swayman,Bruins,,,,,,,,
8481692,32,https://assets.nhle.com/mugs/nhl/20242025/CGY/8481692.png,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,G,14,Dustin,Wolf,Flames,,,,,,,,
8479361,60,https://assets.nhle.com/mugs/nhl/20242025/TOR/8479361.png,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,G,14,Joseph,Woll,Maple Leafs,,,,,,,,
8480045,1,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480045.png,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,G,13,Ukko-Pekka,Luukkonen,Sabres,,,,,,,,
8478009,30,https://assets.nhle.com/mugs/nhl/20242025/NYI/8478009.png,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,G,13,Ilya,Sorokin,Islanders,,,,,Ilja,Ilja,Ilja,
